vehicle_type,fault_code,vehicle_age_months,mileage_km,prior_services,technician_notes,replaced_part,root_cause
EV,EV0311,58,34033,5,Routine service flagged unusual noise. Root cause traced to main contactor fault.,Main contactor,Main contactor fault
ICE,P0141,5,16409,2,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0480,4,54156,7,Bike came in with power loss on acceleration. cooling fan fault suspected after inspection.,Cooling fan,Cooling fan fault
ICE,P0191,57,50265,5,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0505,10,23186,3,"No prior complaints, code triggered during diagnostic scan. throttle body dirty confirmed on teardown.",Throttle body,Throttle body dirty
ICE,P0105,22,56307,7,Bike came in with battery draining fast. map sensor fault suspected after inspection.,MAP sensor,MAP sensor fault
Scooter,P0720,59,52383,7,Bike came in with rough idling. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0230,44,17236,3,Routine service flagged slow charging. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0325,1,19812,1,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0620,44,31592,2,"No prior complaints, code triggered during diagnostic scan. alternator fault confirmed on teardown.",Alternator,Alternator fault
ICE,P0563,32,22516,3,Routine service flagged warning light on dash. Root cause traced to voltage regulator fault.,Voltage regulator,Voltage regulator fault
ICE,P0110,28,29729,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0705,31,22169,2,Routine service flagged slow charging. Root cause traced to gear sensor fault.,Gear sensor,Gear sensor fault
ICE,P0230,16,18695,1,Bike came in with power loss on acceleration. fuel pump relay fault suspected after inspection.,Fuel pump relay,Fuel pump relay fault
Scooter,P0730,27,58861,6,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,EV0412,22,43982,4,Bike came in with warning light on dash. hv isolation fault suspected after inspection.,HV wiring/insulation,HV isolation fault
ICE,P0442,34,40005,4,Routine service flagged battery draining fast. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
Scooter,P0700,51,19807,2,"No prior complaints, code triggered during diagnostic scan. gear sensor fault confirmed on teardown.",Gear sensor,Gear sensor fault
EV,EV0310,27,8287,0,"No prior complaints, code triggered during diagnostic scan. charging cable fault confirmed on teardown.",Charging cable,Charging cable fault
ICE,P0455,46,9171,2,"Customer reported battery draining fast. Checked evap purge valve, found issue consistent with evap purge valve fault.",EVAP purge valve,EVAP purge valve fault
ICE,P0563,43,27952,3,"Customer reported battery draining fast. Checked alternator, found issue consistent with alternator fault.",Alternator,Alternator fault
ICE,P0335,7,25322,2,Bike came in with slow charging. crank position sensor fault suspected after inspection.,Crank position sensor,Crank position sensor fault
EV,EV0204,16,16757,1,"No prior complaints, code triggered during diagnostic scan. motor controller overheat confirmed on teardown.",Motor controller,Motor controller overheat
Scooter,P0120,5,35685,4,Bike came in with warning light on dash. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0325,56,57800,7,"Customer reported battery draining fast. Checked knock sensor, found issue consistent with knock sensor fault.",Knock sensor,Knock sensor fault
ICE,P0172,41,5513,0,"Customer reported slow charging. Checked maf sensor, found issue consistent with maf sensor dirty.",MAF sensor,MAF sensor dirty
Scooter,P0705,36,59749,7,"Customer reported slow charging. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0505,21,46175,5,Routine service flagged unusual noise. Root cause traced to idle air control valve fault.,Idle air control valve,Idle air control valve fault
Scooter,P0455,15,23676,2,Routine service flagged rough idling. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
ICE,P0700,11,41687,6,Bike came in with warning light on dash. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0105,11,43935,6,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0730,59,21215,3,Routine service flagged reduced range. Root cause traced to transmission control fault.,TCU,Transmission control fault
Scooter,P0705,45,55596,7,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0340,3,16395,1,Bike came in with battery draining fast. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
EV,EV0102,6,52448,7,Bike came in with reduced range. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0115,14,57349,7,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0105,60,57693,8,"No prior complaints, code triggered during diagnostic scan. map sensor fault confirmed on teardown.",MAP sensor,MAP sensor fault
Scooter,P0507,12,31380,2,"No prior complaints, code triggered during diagnostic scan. throttle body dirty confirmed on teardown.",Throttle body,Throttle body dirty
EV,P0A80,10,912,1,"No prior complaints, code triggered during diagnostic scan. cell voltage imbalance confirmed on teardown.",Battery module,Cell voltage imbalance
Scooter,P0715,54,18105,2,"Customer reported slow charging. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0120,53,15040,1,Routine service flagged battery draining fast. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
EV,EV0204,31,16406,2,Bike came in with reduced range. coolant pump fault suspected after inspection.,Coolant pump,Coolant pump fault
EV,EV0205,55,53205,6,"Customer reported rough idling. Checked motor phase wiring, found issue consistent with motor phase wiring fault.",Motor phase wiring,Motor phase wiring fault
Scooter,P0088,14,22759,3,"No prior complaints, code triggered during diagnostic scan. fuel pressure regulator fault confirmed on teardown.",Fuel pressure regulator,Fuel pressure regulator fault
ICE,P0303,50,30796,2,Bike came in with reduced range. fuel injector clog suspected after inspection.,Fuel injector,Fuel injector clog
Scooter,P0715,53,53591,6,"Customer reported warning light on dash. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0501,51,17183,1,Bike came in with warning light on dash. dc-dc converter fault suspected after inspection.,DC-DC converter,DC-DC converter fault
Scooter,P0340,19,27405,4,Bike came in with unusual noise. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0562,42,3034,0,"No prior complaints, code triggered during diagnostic scan. battery voltage low confirmed on teardown.",12V battery,Battery voltage low
Scooter,P0715,24,52189,7,Routine service flagged slow charging. Root cause traced to input speed sensor fault.,Input speed sensor,Input speed sensor fault
EV,EV0205,15,35079,4,Routine service flagged slow charging. Root cause traced to motor phase wiring fault.,Motor phase wiring,Motor phase wiring fault
EV,EV0101,20,18754,3,Routine service flagged power loss on acceleration. Root cause traced to thermal sensor fault.,Thermal sensor,Thermal sensor fault
EV,EV0310,32,49397,5,Bike came in with unusual noise. charging port fault suspected after inspection.,Charging port,Charging port fault
ICE,P0304,19,36175,5,"No prior complaints, code triggered during diagnostic scan. spark plug worn confirmed on teardown.",Spark plug,Spark plug worn
ICE,P0562,1,43703,5,Bike came in with power loss on acceleration. wiring corrosion suspected after inspection.,Wiring harness,Wiring corrosion
EV,EV0102,21,38686,5,Routine service flagged reduced range. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0505,3,32494,4,Routine service flagged reduced range. Root cause traced to idle air control valve fault.,Idle air control valve,Idle air control valve fault
ICE,P0303,9,47581,4,Bike came in with unusual noise. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
ICE,P0480,45,8189,0,"No prior complaints, code triggered during diagnostic scan. cooling fan fault confirmed on teardown.",Cooling fan,Cooling fan fault
ICE,P0442,35,15169,0,"Customer reported warning light on dash. Checked evap hose/canister, found issue consistent with evap system leak.",EVAP hose/canister,EVAP system leak
Scooter,P0715,3,35944,5,"Customer reported warning light on dash. Checked input speed sensor, found issue consistent with input speed sensor fault.",Input speed sensor,Input speed sensor fault
ICE,P0135,30,18863,1,"No prior complaints, code triggered during diagnostic scan. o2 sensor heater fault confirmed on teardown.",O2 sensor,O2 sensor heater fault
Scooter,P0105,32,11359,2,"Customer reported warning light on dash. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0442,39,28778,4,"No prior complaints, code triggered during diagnostic scan. evap system leak confirmed on teardown.",EVAP hose/canister,EVAP system leak
Scooter,P0730,23,32916,4,Routine service flagged warning light on dash. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0301,21,59256,8,"No prior complaints, code triggered during diagnostic scan. spark plug worn confirmed on teardown.",Spark plug,Spark plug worn
Scooter,P0720,29,8019,1,Routine service flagged rough idling. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0715,40,23108,1,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
EV,EV0310,10,53518,5,Bike came in with battery draining fast. charging cable fault suspected after inspection.,Charging cable,Charging cable fault
Scooter,P0304,42,21034,1,Bike came in with rough idling. ignition coil fault suspected after inspection.,Ignition coil,Ignition coil fault
Scooter,P0325,32,19859,3,Bike came in with rough idling. knock sensor fault suspected after inspection.,Knock sensor,Knock sensor fault
ICE,P0135,51,53376,7,"No prior complaints, code triggered during diagnostic scan. o2 sensor heater fault confirmed on teardown.",O2 sensor,O2 sensor heater fault
EV,EV0102,30,13769,0,Bike came in with warning light on dash. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0303,53,48261,6,Bike came in with reduced range. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
EV,P0A80,51,11544,2,Routine service flagged rough idling. Root cause traced to cell voltage imbalance.,Battery module,Cell voltage imbalance
EV,EV0412,38,13625,1,"Customer reported unusual noise. Checked hv wiring/insulation, found issue consistent with hv isolation fault.",HV wiring/insulation,HV isolation fault
ICE,P0088,12,52746,7,"Customer reported warning light on dash. Checked fuel pressure regulator, found issue consistent with fuel pressure regulator fault.",Fuel pressure regulator,Fuel pressure regulator fault
EV,EV0501,23,31839,4,"Customer reported power loss on acceleration. Checked dc-dc converter, found issue consistent with dc-dc converter fault.",DC-DC converter,DC-DC converter fault
Scooter,P0301,60,54062,6,Routine service flagged rough idling. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
ICE,P0105,58,10583,1,"Customer reported rough idling. Checked map sensor, found issue consistent with map sensor fault.",MAP sensor,MAP sensor fault
Scooter,P0715,51,7961,0,Bike came in with warning light on dash. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0480,31,4999,0,"No prior complaints, code triggered during diagnostic scan. cooling fan fault confirmed on teardown.",Cooling fan,Cooling fan fault
Scooter,P0120,28,36339,4,"No prior complaints, code triggered during diagnostic scan. throttle position sensor fault confirmed on teardown.",Throttle position sensor,Throttle position sensor fault
ICE,P0230,8,50831,5,Bike came in with unusual noise. fuel pump relay fault suspected after inspection.,Fuel pump relay,Fuel pump relay fault
ICE,P0171,33,5977,0,Routine service flagged unusual noise. Root cause traced to vacuum leak.,Vacuum hose,Vacuum leak
ICE,P0325,11,41005,6,"Customer reported unusual noise. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0705,38,25393,4,Routine service flagged reduced range. Root cause traced to gear sensor fault.,Gear sensor,Gear sensor fault
ICE,P0130,53,38004,3,"Customer reported unusual noise. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0110,43,14718,0,Bike came in with rough idling. iat sensor fault suspected after inspection.,IAT sensor,IAT sensor fault
ICE,P0562,15,50331,6,"No prior complaints, code triggered during diagnostic scan. wiring corrosion confirmed on teardown.",Wiring harness,Wiring corrosion
Scooter,P0303,60,47130,6,"No prior complaints, code triggered during diagnostic scan. ignition coil fault confirmed on teardown.",Ignition coil,Ignition coil fault
ICE,P0300,45,36404,5,"Customer reported unusual noise. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
Scooter,P0620,3,21540,1,Bike came in with battery draining fast. alternator fault suspected after inspection.,Alternator,Alternator fault
ICE,P0115,49,58653,6,Routine service flagged unusual noise. Root cause traced to coolant temp sensor fault.,Coolant temp sensor,Coolant temp sensor fault
Scooter,P0440,2,32815,3,"No prior complaints, code triggered during diagnostic scan. evap system leak confirmed on teardown.",EVAP hose/canister,EVAP system leak
Scooter,P0455,4,54657,7,Routine service flagged battery draining fast. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
EV,EV0501,23,46865,6,Bike came in with rough idling. dc-dc converter fault suspected after inspection.,DC-DC converter,DC-DC converter fault
ICE,P0442,8,26345,2,"No prior complaints, code triggered during diagnostic scan. evap system leak confirmed on teardown.",EVAP hose/canister,EVAP system leak
ICE,P0480,6,43250,6,"Customer reported warning light on dash. Checked cooling fan, found issue consistent with cooling fan fault.",Cooling fan,Cooling fan fault
EV,EV0412,55,2530,0,"No prior complaints, code triggered during diagnostic scan. hv isolation fault confirmed on teardown.",HV wiring/insulation,HV isolation fault
ICE,P0135,28,26644,3,Routine service flagged unusual noise. Root cause traced to o2 sensor heater fault.,O2 sensor,O2 sensor heater fault
EV,EV0101,26,39637,4,Bike came in with battery draining fast. bms communication fault suspected after inspection.,BMS unit,BMS communication fault
EV,EV0501,50,16741,1,"Customer reported rough idling. Checked dc-dc converter, found issue consistent with dc-dc converter fault.",DC-DC converter,DC-DC converter fault
ICE,B1318,48,45142,5,"Customer reported battery draining fast. Checked 12v battery, found issue consistent with 12v battery weak.",12V battery,12V battery weak
Scooter,P0301,56,4805,0,"No prior complaints, code triggered during diagnostic scan. fuel injector clog confirmed on teardown.",Fuel injector,Fuel injector clog
ICE,P0087,14,20045,1,"No prior complaints, code triggered during diagnostic scan. fuel pressure regulator fault confirmed on teardown.",Fuel pressure regulator,Fuel pressure regulator fault
Scooter,P0705,19,19198,3,Bike came in with unusual noise. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
EV,EV0205,16,31178,3,"Customer reported battery draining fast. Checked motor phase wiring, found issue consistent with motor phase wiring fault.",Motor phase wiring,Motor phase wiring fault
Scooter,P0720,12,9815,2,Routine service flagged unusual noise. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
EV,EV0412,44,24999,4,Routine service flagged warning light on dash. Root cause traced to hv isolation fault.,HV wiring/insulation,HV isolation fault
ICE,P0335,14,41145,4,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0301,59,20869,3,Bike came in with slow charging. ignition coil fault suspected after inspection.,Ignition coil,Ignition coil fault
EV,B1318,36,14012,2,Bike came in with slow charging. 12v battery weak suspected after inspection.,12V battery,12V battery weak
Scooter,P0720,10,16262,3,Routine service flagged power loss on acceleration. Root cause traced to output speed sensor fault.,Output speed sensor,Output speed sensor fault
Scooter,P0087,17,29268,3,"No prior complaints, code triggered during diagnostic scan. fuel pump weak confirmed on teardown.",Fuel pump,Fuel pump weak
Scooter,P0191,48,31931,4,"No prior complaints, code triggered during diagnostic scan. fuel pressure sensor fault confirmed on teardown.",Fuel pressure sensor,Fuel pressure sensor fault
ICE,B1318,9,3029,0,"No prior complaints, code triggered during diagnostic scan. 12v battery weak confirmed on teardown.",12V battery,12V battery weak
ICE,P0420,37,29484,3,"Customer reported warning light on dash. Checked catalytic converter, found issue consistent with catalytic converter worn.",Catalytic converter,Catalytic converter worn
Scooter,P0420,1,34111,3,Routine service flagged warning light on dash. Root cause traced to catalytic converter worn.,Catalytic converter,Catalytic converter worn
Scooter,P0171,29,12182,2,Routine service flagged power loss on acceleration. Root cause traced to vacuum leak.,Vacuum hose,Vacuum leak
Scooter,P0135,58,4985,0,"No prior complaints, code triggered during diagnostic scan. o2 sensor heater fault confirmed on teardown.",O2 sensor,O2 sensor heater fault
Scooter,P0172,25,2534,0,"Customer reported rough idling. Checked fuel pressure regulator, found issue consistent with fuel pressure regulator fault.",Fuel pressure regulator,Fuel pressure regulator fault
ICE,P0700,26,49554,7,Routine service flagged warning light on dash. Root cause traced to transmission control fault.,TCU,Transmission control fault
Scooter,P0340,25,23479,2,"No prior complaints, code triggered during diagnostic scan. cam position sensor fault confirmed on teardown.",Cam position sensor,Cam position sensor fault
Scooter,P0087,33,49852,6,Bike came in with slow charging. fuel pressure regulator fault suspected after inspection.,Fuel pressure regulator,Fuel pressure regulator fault
ICE,P0562,18,53384,5,Routine service flagged power loss on acceleration. Root cause traced to battery voltage low.,12V battery,Battery voltage low
EV,EV0311,18,22648,3,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
ICE,P0507,1,15630,0,"Customer reported unusual noise. Checked throttle body, found issue consistent with throttle body dirty.",Throttle body,Throttle body dirty
ICE,P0505,10,33041,3,"No prior complaints, code triggered during diagnostic scan. throttle body dirty confirmed on teardown.",Throttle body,Throttle body dirty
Scooter,P0730,59,18001,3,"Customer reported power loss on acceleration. Checked tcu, found issue consistent with transmission control fault.",TCU,Transmission control fault
EV,P0A80,48,57666,6,Bike came in with unusual noise. battery pack degraded suspected after inspection.,Battery pack,Battery pack degraded
ICE,P0440,38,21788,3,"Customer reported battery draining fast. Checked evap purge valve, found issue consistent with evap purge valve fault.",EVAP purge valve,EVAP purge valve fault
Scooter,P0730,17,2425,1,"Customer reported slow charging. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0311,3,36125,3,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
EV,EV0412,55,58931,6,Routine service flagged unusual noise. Root cause traced to hv isolation fault.,HV wiring/insulation,HV isolation fault
ICE,P0191,56,49357,6,"Customer reported rough idling. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0412,12,53615,6,Routine service flagged power loss on acceleration. Root cause traced to hv isolation fault.,HV wiring/insulation,HV isolation fault
EV,EV0310,57,47019,4,Bike came in with unusual noise. charging port fault suspected after inspection.,Charging port,Charging port fault
Scooter,P0420,19,40677,6,Routine service flagged warning light on dash. Root cause traced to catalytic converter worn.,Catalytic converter,Catalytic converter worn
ICE,P0105,48,49755,7,Routine service flagged battery draining fast. Root cause traced to map sensor fault.,MAP sensor,MAP sensor fault
ICE,P0507,31,22965,1,"Customer reported rough idling. Checked throttle body, found issue consistent with throttle body dirty.",Throttle body,Throttle body dirty
ICE,P0505,42,29783,2,"No prior complaints, code triggered during diagnostic scan. idle air control valve fault confirmed on teardown.",Idle air control valve,Idle air control valve fault
EV,EV0310,45,49734,6,Bike came in with warning light on dash. onboard charger fault suspected after inspection.,Onboard charger,Onboard charger fault
EV,EV0311,53,27323,4,Bike came in with battery draining fast. main contactor fault suspected after inspection.,Main contactor,Main contactor fault
Scooter,P0115,18,48490,7,"Customer reported power loss on acceleration. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0311,4,6430,0,"Customer reported reduced range. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
EV,EV0311,41,43499,5,"Customer reported power loss on acceleration. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
ICE,P0087,55,18232,3,Routine service flagged rough idling. Root cause traced to fuel pump weak.,Fuel pump,Fuel pump weak
EV,EV0412,12,41493,6,Bike came in with warning light on dash. hv isolation fault suspected after inspection.,HV wiring/insulation,HV isolation fault
EV,EV0501,50,10314,2,Bike came in with slow charging. dc-dc converter fault suspected after inspection.,DC-DC converter,DC-DC converter fault
Scooter,P0115,46,24040,3,"Customer reported power loss on acceleration. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0135,59,9578,1,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,EV0204,46,31456,2,Routine service flagged unusual noise. Root cause traced to coolant pump fault.,Coolant pump,Coolant pump fault
Scooter,P0715,57,48260,7,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,EV0311,5,47786,4,"Customer reported rough idling. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
ICE,P0505,5,20206,2,"No prior complaints, code triggered during diagnostic scan. idle air control valve fault confirmed on teardown.",Idle air control valve,Idle air control valve fault
EV,EV0205,7,38676,5,"No prior complaints, code triggered during diagnostic scan. motor phase wiring fault confirmed on teardown.",Motor phase wiring,Motor phase wiring fault
ICE,P0325,47,50795,6,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,P0A80,46,12606,0,"No prior complaints, code triggered during diagnostic scan. battery pack degraded confirmed on teardown.",Battery pack,Battery pack degraded
Scooter,P0715,30,810,0,"Customer reported power loss on acceleration. Checked input speed sensor, found issue consistent with input speed sensor fault.",Input speed sensor,Input speed sensor fault
Scooter,P0110,16,11810,1,Bike came in with rough idling. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
EV,EV0205,36,11210,0,"Customer reported unusual noise. Checked motor phase wiring, found issue consistent with motor phase wiring fault.",Motor phase wiring,Motor phase wiring fault
Scooter,P0505,27,48211,5,"No prior complaints, code triggered during diagnostic scan. idle air control valve fault confirmed on teardown.",Idle air control valve,Idle air control valve fault
EV,P0A80,36,14590,2,Routine service flagged slow charging. Root cause traced to battery pack degraded.,Battery pack,Battery pack degraded
Scooter,P0304,20,26878,4,"Customer reported battery draining fast. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
EV,EV0501,54,1409,0,"No prior complaints, code triggered during diagnostic scan. dc-dc converter fault confirmed on teardown.",DC-DC converter,DC-DC converter fault
Scooter,P0730,29,3556,0,"Customer reported unusual noise. Checked tcu, found issue consistent with transmission control fault.",TCU,Transmission control fault
EV,EV0204,59,47266,6,Bike came in with reduced range. coolant pump fault suspected after inspection.,Coolant pump,Coolant pump fault
Scooter,P0302,52,55593,7,Bike came in with warning light on dash. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
Scooter,P0480,39,10628,2,"No prior complaints, code triggered during diagnostic scan. cooling fan fault confirmed on teardown.",Cooling fan,Cooling fan fault
EV,P0A80,35,29352,3,Bike came in with unusual noise. cell voltage imbalance suspected after inspection.,Battery module,Cell voltage imbalance
Scooter,P0505,4,56364,7,Routine service flagged battery draining fast. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
Scooter,P0340,21,29443,2,"No prior complaints, code triggered during diagnostic scan. cam position sensor fault confirmed on teardown.",Cam position sensor,Cam position sensor fault
EV,EV0311,6,51186,7,"Customer reported slow charging. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
Scooter,P0730,32,31736,4,"Customer reported reduced range. Checked tcu, found issue consistent with transmission control fault.",TCU,Transmission control fault
Scooter,P0325,49,9175,0,"No prior complaints, code triggered during diagnostic scan. knock sensor fault confirmed on teardown.",Knock sensor,Knock sensor fault
ICE,P0455,4,14702,0,"No prior complaints, code triggered during diagnostic scan. evap purge valve fault confirmed on teardown.",EVAP purge valve,EVAP purge valve fault
Scooter,P0088,11,24828,3,"Customer reported unusual noise. Checked fuel pressure regulator, found issue consistent with fuel pressure regulator fault.",Fuel pressure regulator,Fuel pressure regulator fault
EV,EV0501,30,49880,6,"Customer reported power loss on acceleration. Checked dc-dc converter, found issue consistent with dc-dc converter fault.",DC-DC converter,DC-DC converter fault
ICE,P0442,22,6171,0,Bike came in with power loss on acceleration. evap system leak suspected after inspection.,EVAP hose/canister,EVAP system leak
Scooter,P0110,30,26695,4,"Customer reported reduced range. Checked iat sensor, found issue consistent with iat sensor fault.",IAT sensor,IAT sensor fault
ICE,P0340,31,50311,7,"Customer reported rough idling. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,P0A80,54,55437,5,"No prior complaints, code triggered during diagnostic scan. battery pack degraded confirmed on teardown.",Battery pack,Battery pack degraded
ICE,P0135,9,32780,4,Routine service flagged reduced range. Root cause traced to o2 sensor heater fault.,O2 sensor,O2 sensor heater fault
Scooter,P0110,45,26730,2,Bike came in with slow charging. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0105,32,44682,4,Bike came in with rough idling. map sensor fault suspected after inspection.,MAP sensor,MAP sensor fault
ICE,P0302,52,15535,2,"Customer reported rough idling. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
Scooter,P0705,10,43424,4,"Customer reported reduced range. Checked gear sensor, found issue consistent with gear sensor fault.",Gear sensor,Gear sensor fault
ICE,P0562,18,13444,0,Bike came in with power loss on acceleration. battery voltage low suspected after inspection.,12V battery,Battery voltage low
ICE,P0100,35,18911,2,"Customer reported reduced range. Checked maf sensor, found issue consistent with maf sensor dirty.",MAF sensor,MAF sensor dirty
Scooter,P0440,58,36376,5,Routine service flagged slow charging. Root cause traced to evap purge valve fault.,EVAP purge valve,EVAP purge valve fault
Scooter,P0141,7,39326,5,Routine service flagged battery draining fast. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
EV,EV0311,31,28088,4,"Customer reported power loss on acceleration. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
EV,EV0204,19,24717,4,Routine service flagged power loss on acceleration. Root cause traced to cooling fan fault.,Cooling fan,Cooling fan fault
EV,EV0412,7,24594,3,Bike came in with slow charging. hv isolation fault suspected after inspection.,HV wiring/insulation,HV isolation fault
EV,EV0102,28,19463,1,Bike came in with power loss on acceleration. regen braking control fault suspected after inspection.,Regen braking controller,Regen braking control fault
ICE,P0562,42,39987,4,Routine service flagged unusual noise. Root cause traced to alternator fault.,Alternator,Alternator fault
Scooter,P0135,47,9202,2,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0720,15,40033,5,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,EV0311,44,14342,0,"Customer reported reduced range. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
ICE,P0115,39,33910,4,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0440,44,45388,6,Routine service flagged rough idling. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
Scooter,P0455,28,57971,8,"No prior complaints, code triggered during diagnostic scan. evap purge valve fault confirmed on teardown.",EVAP purge valve,EVAP purge valve fault
EV,EV0310,26,42851,5,Routine service flagged slow charging. Root cause traced to charging port fault.,Charging port,Charging port fault
Scooter,P0505,6,57570,7,"No prior complaints, code triggered during diagnostic scan. throttle body dirty confirmed on teardown.",Throttle body,Throttle body dirty
Scooter,P0110,47,40846,4,"Customer reported reduced range. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0700,12,20843,1,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0110,21,23599,3,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0562,14,38036,5,Bike came in with unusual noise. wiring corrosion suspected after inspection.,Wiring harness,Wiring corrosion
EV,EV0101,40,22573,3,Bike came in with unusual noise. battery cell imbalance suspected after inspection.,Battery module,Battery cell imbalance
Scooter,P0720,21,52134,7,Routine service flagged slow charging. Root cause traced to output speed sensor fault.,Output speed sensor,Output speed sensor fault
EV,EV0310,13,5381,0,"No prior complaints, code triggered during diagnostic scan. charging port fault confirmed on teardown.",Charging port,Charging port fault
ICE,P0302,10,48887,5,Bike came in with power loss on acceleration. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
